Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper
1,Bayern Munich,de GER,1,34,28,5,1,122,36,+86,89,2.62,75000,Harry Kane - 36,Manuel Neuer
2,Barcelona,es ESP,1,38,31,1,6,95,36,+59,94,2.47,45099,Ferran Torres Lamine Yamal - 16,Joan García
3,Inter,it ITA,1,38,27,6,5,89,35,+54,87,2.29,73020,Lautaro Martínez - 17,Yann Sommer
4,Real Madrid,es ESP,2,38,27,5,6,77,35,+42,86,2.26,71549,Kylian Mbappé - 25,Thibaut Courtois
5,PSG,fr FRA,1,34,24,4,6,74,29,+45,76,2.24,45211,Bradley Barcola - 11,Lucas Chevalier
6,Arsenal,eng ENG,1,38,26,7,5,71,27,+44,85,2.24,60217,Viktor Gyökeres - 14,David Raya
7,Dortmund,de GER,2,34,22,7,5,70,34,+36,73,2.15,81365,Serhou Guirassy - 17,Gregor Kobel
8,Lens,fr FRA,2,34,22,4,8,66,35,+31,70,2.06,37564,Wesley Saïd Odsonne Édouard - 12,Robin Risser
9,Manchester City,eng ENG,2,38,23,9,6,77,35,+42,78,2.05,52634,Erling Haaland - 27,Gianluigi Donnarumma
10,Napoli,it ITA,2,38,23,7,8,58,36,+22,76,2.00,47632,Rasmus Højlund - 12,Vanja Milinković-Savić
11,Roma,it ITA,3,38,23,4,11,59,31,+28,73,1.92,61796,Donyell Malen - 14,Mile Svilar
12,RB Leipzig,de GER,3,34,20,5,9,66,47,+19,65,1.91,44164,Christoph Baumgartner - 13,Péter Gulácsi
13,Villarreal,es ESP,3,38,22,6,10,72,46,+26,72,1.89,17989,Georges Mikautadze - 13,Luiz Lúcio Reis Júnior
14,Como,it ITA,4,38,20,11,7,65,29,+36,71,1.87,11451,Anastasios Douvikas - 14,Jean Butez
15,Manchester Utd,eng ENG,3,38,20,11,7,69,50,+19,71,1.87,73960,Bryan Mbeumo Benjamin Šeško - 11,Senne Lammens
16,Milan,it ITA,5,38,20,10,8,53,35,+18,70,1.84,73373,Rafael Leão - 9,Mike Maignan
17,Juventus,it ITA,6,38,19,12,7,61,34,+27,69,1.82,40663,Kenan Yıldız - 10,Michele Di Gregorio
