,,,,,,,,Playing Time,Playing Time,Playing Time,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
1,Adrián,es ESP,GK,Real Betis,es La Liga,38,1987,1,1,90,1,1,1,7,6,85.7,1,0,0,0,0,0,0,0,0,,,
2,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24,2000,18,18,1620,18,30,1.67,83,52,63.9,3,7,8,4,22.2,4,3,1,0,25,,
3,Alisson,br BRA,GK,Liverpool,eng Premier League,32,1992,26,26,2340,26,31,1.19,88,57,64.8,13,8,5,8,30.8,2,2,0,0,0,,
4,Nícolas Andrade,br BRA,GK,Pisa,it Serie A,37,1988,6,6,540,6,14,2.33,26,12,46.2,1,0,5,0,0,1,0,0,1,,,
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32,1993,20,20,1800,20,37,1.85,113,76,67.3,4,5,11,0,0,6,5,0,1,0,,
6,Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19,2006,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,,,
7,Kepa Arrizabalaga,es ESP,GK,Arsenal,eng Premier League,30,1994,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,,,
8,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23,2002,34,34,3060,34,57,1.68,157,100,63.7,13,8,13,6,17.6,1,0,1,0,100,,
9,Emil Audero,id IDN,GK,Cremonese,it Serie A,28,1997,34,34,3060,34,50,1.47,173,123,71.1,8,7,19,11,32.4,6,4,2,0,33.3,,
10,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21,2004,32,32,2880,32,56,1.75,156,100,64.1,7,8,17,5,15.6,5,5,0,0,0,,
11,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29,1996,34,34,3060,34,37,1.09,128,91,71.1,10,13,11,11,32.4,6,5,1,0,16.7,,
12,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,34,1991,21,21,1890,21,27,1.29,97,70,72.2,9,7,5,4,19,1,1,0,0,0,,
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35,1990,34,34,3060,34,52,1.53,150,98,65.3,18,7,9,7,20.6,7,5,0,2,0,,
14,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27,1998,6,6,540,6,11,1.83,24,13,54.2,2,1,3,0,0,0,0,0,0,,,
15,Walter Benítez,ar ARG,GK,Crystal Palace,eng Premier League,32,1993,1,1,90,1,0,0,3,3,100,0,1,0,1,100,1,0,0,1,,,
16,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,32,1993,3,3,270,3,7,2.33,14,7,50,0,1,2,0,0,1,1,0,0,0,,
17,Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,22,2002,5,5,450,5,7,1.4,22,15,68.2,1,2,2,2,40,0,0,0,0,,,
18,Justin Bijlow,nl NED,GK,Genoa,it Serie A,27,1998,16,16,1395,15.5,20,1.29,65,45,69.2,6,3,7,5,31.3,5,5,0,0,0,,
19,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34,1991,7,6,585,6.5,10,1.54,29,19,65.5,3,2,1,2,33.3,1,1,0,0,0,,
20,Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,34,1991,11,10,931,10.3,9,0.87,50,41,82,5,4,1,3,30,0,0,0,0,,,
21,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27,1998,3,2,226,2.5,3,1.19,7,4,57.1,0,0,2,0,0,1,1,0,0,0,,
22,Jean Butez,fr FRA,GK,Como,it Serie A,30,1995,38,38,3420,38,29,0.76,116,86,75,20,11,7,19,50,6,5,1,0,16.7,,
23,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23,2001,38,38,3420,38,53,1.39,175,121,69.7,11,10,17,8,21.1,2,2,0,0,0,,
24,Dani Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,28,1997,4,4,360,4,7,1.75,26,19,73.1,2,1,1,1,25,2,1,1,0,50,,
25,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33,1992,3,2,182,2,2,0.99,13,11,84.6,1,1,0,1,50,0,0,0,0,,,
26,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25,2000,37,37,3330,37,35,0.95,148,112,76.4,15,13,9,13,35.1,4,2,2,0,50,,
27,Lucas Chevalier,fr FRA,GK,PSG,fr Ligue 1,23,2001,17,17,1530,17,13,0.76,45,32,71.1,12,3,2,9,52.9,3,1,1,1,50,,
28,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,26,1999,1,1,86,1,1,1.05,7,6,85.7,0,1,0,0,0,0,0,0,0,,,
29,Nikita Contini,it ITA,GK,Napoli,it Serie A,29,1996,1,0,11,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,,,
30,Edoardo Corvi,it ITA,GK,Parma,it Serie A,24,2001,17,17,1530,17,18,1.06,63,44,71.4,8,4,5,7,41.2,3,3,0,0,0,,
31,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26,1999,25,24,2192,24.4,40,1.64,116,76,65.5,9,5,10,6,25,4,3,1,0,25,,
32,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33,1992,32,32,2880,32,28,0.87,98,70,71.4,24,3,5,13,40.6,4,4,0,0,0,,
33,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23,2002,2,2,180,2,5,2.5,16,11,68.8,0,0,2,0,0,0,0,0,0,,,
34,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27,1998,34,34,3060,34,61,1.79,166,105,63.3,12,7,15,5,14.7,7,6,1,0,14.3,,
35,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,34,1990,22,22,1980,22,27,1.23,90,63,70,7,8,7,5,22.7,2,2,0,0,0,,
36,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27,1998,5,5,450,5,11,2.2,24,13,54.2,3,0,2,1,20,0,0,0,0,,,
37,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24,2001,8,5,598,6.6,9,1.35,24,15,62.5,1,1,3,1,20,2,1,1,0,50,,
38,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29,1996,5,5,450,5,3,0.6,17,14,82.4,3,1,1,4,80,0,0,0,0,,,
39,Raffaele Di Gennaro,it ITA,GK,Inter,it Serie A,31,1993,1,0,10,0.1,1,9,2,1,50,0,0,0,0,,0,0,0,0,,,
40,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28,1997,30,29,2655,29.5,25,0.85,86,60,70.9,15,9,5,14,48.3,3,1,0,2,0,,
41,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32,1993,30,30,2655,29.5,41,1.39,121,80,66.1,6,12,12,7,23.3,8,6,2,0,25,,
42,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31,1993,20,20,1800,20,25,1.25,77,52,67.5,10,3,7,5,25,4,3,0,1,0,,
43,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25,1999,26,26,2340,26,45,1.73,136,91,66.9,6,7,13,5,19.2,7,5,1,1,16.7,,
44,Matías Dituro,ar ARG,GK,Elche,es La Liga,38,1987,22,22,1980,22,29,1.32,93,64,68.8,7,9,6,4,18.2,5,4,0,1,0,,
